PLAYER_NAME	FIRST_DAY	DURATION	STAGE	MATCH	MAP	TEAM	TEAM_NAME	TEAM_DURATION	TEAMMATE	FIRST_WIN	FIRST_WIN_TEAM	FIRST_WIN_MAP	MAP_DUPLICATE	MOST_MAP	HERO	MOST_HERO	HOUR	HERO_STAGE1	HERO_STAGE2	HERO_STAGE3	KILL	DATE_KILL	TEAM_KILL	MAP_KILL	COUNT_KILL	KILL_PLAYER	DEATH	DATE_DEATH	TEAM_DEATH	MAP_DEATH	COUNT_DEATH	DEATH_PLAYER	WORLD_TIME	WORLD_TEAM	WORLD_RESULT	LAST_DATE	LAST_TEAM	TEAM_TOTAL
DOX	9月6日	8	1	8	27	1	ZONES	299.5	AIDEN, WYA	9月6日	BOOM	伊利奥斯	10	直布罗陀	5	温斯顿	139.3			温斯顿	189	10月4日	YNB ESPORTS	直布罗陀	17	WH4LE	196	9月21日	MILK TEA	苏拉瓦萨	14	ALPHARI				10月11日	YNB ESPORTS	ZONES
ECC	3月27日	3	1	3	6	1	TEAM EQUAL	55.8	EMOLGA, FLICKER, LAVENDER, M0CHA				4	埃斯佩兰萨 漓江塔	4	源氏	24.2	源氏			44	3月28日	TEAM CC	萨摩亚	12	PINEAPPLE	54	3月29日	BLADE	漓江塔	10	PINEAPPLE				3月29日	BLADE	TEAM EQUAL
EILEEN	5月25日	19	2	20	71	1	MILK TEA	793.9	INSANE	5月30日	LITTLE SHEEP	苏拉瓦萨	19	苏拉瓦萨	8	弗蕾娅	348.5		弗蕾娅	死神	562	9月21日	ZONES	苏拉瓦萨	18	ALPHARI WH4LE	551	10月12日	TEAM CC	国王大道	14	ALPHARI				10月12日	TEAM CC	MILK TEA
EMOLGA	3月27日	3	1	3	9	1	TEAM EQUAL	81.6	FLICKER, LAVENDER, M0CHA				4	埃斯佩兰萨 苏拉瓦萨	3	布丽吉塔	41.6	布丽吉塔			15	3月29日	BLADE	苏拉瓦萨	6	WEN	53	3月28日	TEAM CC	苏拉瓦萨	10	PINEAPPLE				3月29日	BLADE	TEAM EQUAL
EMG	3月27日	3	1	3	9	1	TEAM EQUAL	81.6	FLICKER, LAVENDER, M0CHA				4	埃斯佩兰萨 苏拉瓦萨	3	布丽吉塔	41.6	布丽吉塔			15	3月29日	BLADE	苏拉瓦萨	6	WEN	53	3月28日	TEAM CC	苏拉瓦萨	10	PINEAPPLE				3月29日	BLADE	TEAM EQUAL
EPICTROLLS4	9月6日	7	1	7	22	1	BOOM	232.7	FEIYANG, TAIMOUREN	9月13日	ROC ESPORTS	苏拉瓦萨	9	直布罗陀	3	猎空	205.6			猎空	128	10月5日	MDY	直布罗陀	14	ALPHARI WH4LE	145	9月12日	TEAM CC	直布罗陀	12	EILEEN				10月5日	MDY	BOOM
FARI	3月27日	11	2	11	40	2	HOMIE E	286.8	WEN	3月29日	TEAM EQUAL	漓江塔	17	皇家赛道 绿洲城	7	弗蕾娅	213.6	索杰恩	弗蕾娅		260	5月24日	LITTLE SHEEP	绿洲城	14	ALPHARI	332	3月30日	ROC ESPORTS	漓江塔	17	DIYA				6月21日	ZONES	BLADE和HOMIE E
FARWAY2025	3月27日	31	3	35	123	1	TEAM CC	1320.5	PINEAPPLE	3月27日	BLADE	漓江塔	25	伊利奥斯	6	雾子	638.4	安娜	雾子	雾子	411	9月13日	MILK TEA	苏拉瓦萨	10	BELOSREA	656	8月2日	GEEKAY ESPORTS	中城	14	LEAVE	3	GEEKAY ESPORTS	8强	11月28日	ONCE AGAIN	TEAM CC
FARWAY1987	3月27日	31	3	35	123	1	TEAM CC	1320.5	PINEAPPLE	3月27日	BLADE	漓江塔	25	伊利奥斯	6	雾子	638.4	安娜	雾子	雾子	411	9月13日	MILK TEA	苏拉瓦萨	10	BELOSREA	656	8月2日	GEEKAY ESPORTS	中城	14	LEAVE	3	GEEKAY ESPORTS	8强	11月28日	ONCE AGAIN	TEAM CC
FEIYANG	3月28日	18	3	18	58	2	TEAM XX	322.1	TAIMOUREN	3月28日	SUPER LEVI	萨摩亚	17	伊利奥斯 直布罗陀	14	温斯顿	160.6	温斯顿	温斯顿	温斯顿	367	9月28日	MILK TEA	苏拉瓦萨	16	CHU	400	6月22日	MILK TEA	新渣客城	13	ALPHARI				10月5日	MDY	BOOM和TEAM XX
FLICKER	3月27日	3	1	3	9	1	TEAM EQUAL	81.6	EMOLGA, LAVENDER, M0CHA				4	埃斯佩兰萨 苏拉瓦萨	4	猎空	42.2	猎空			34	3月29日	BLADE	漓江塔	10	FARI	55	3月28日	TEAM CC	苏拉瓦萨	8	DIYA				3月29日	BLADE	TEAM EQUAL
FLORA	9月6日	9	1	9	35	1	ROC ESPORTS	378.6	BELOSREA, CHU, LENGSA	9月6日	TEAM CC	苏拉瓦萨	12	苏拉瓦萨	6	猎空	230.3			猎空	304	9月20日	MDY	国王大道	18	HAOYOQIAN	193	10月11日	MILK TEA	苏拉瓦萨	12	EILEEN				10月11日	MILK TEA	ROC ESPORTS
FYA	6月13日	4	1	4	13	1	ZONES	154.6	PRIDE, REMAKER, RULER, WYA	6月21日	HOMIE E	皇家赛道	7	伊利奥斯	5	布丽吉塔	83.4		布丽吉塔		27	6月28日	TEAM CC	皇家赛道	5	KANEKI LILKO UNKN0W	95	6月28日	TEAM CC	鲁纳塞彼	11	LILKO PINEAPPLE				6月28日	TEAM CC	ZONES
GAGA	3月27日	19	2	22	52	1	TEAM CC	531.7	FARWAY2025, PINEAPPLE	3月27日	BLADE	漓江塔	17	伊利奥斯	8	温斯顿	279.9	温斯顿	温斯顿		350	3月29日	ROC ESPORTS	多拉多	15	CHU	280	4月6日	ONCE AGAIN	艾兴瓦尔德	11	LEAVE	2	SPACESTATION GAMING	8强	8月2日	GEEKAY ESPORTS	TEAM CC
GA9A	3月27日	19	2	22	52	1	TEAM CC	531.7	FARWAY2025, PINEAPPLE	3月27日	BLADE	漓江塔	17	伊利奥斯	8	温斯顿	279.9	温斯顿	温斯顿		350	3月29日	ROC ESPORTS	多拉多	15	CHU	280	4月6日	ONCE AGAIN	艾兴瓦尔德	11	LEAVE	2	SPACESTATION GAMING	8强	8月2日	GEEKAY ESPORTS	TEAM CC
GENIUS91	6月14日	3	1	3	10	1	TEAM XX	101.5	CCJPITY, DECADE, FEIYANG, PROYUNG	6月22日	MILK TEA	伊利奥斯	7	中城 皇家赛道 绿洲城	5	雾子	37.0		雾子		23	6月14日	HOMIE E	皇家赛道	6	LILKO	79	6月22日	MILK TEA	新渣客城	13	ALPHARI				6月22日	MILK TEA	TEAM XX
GUXUE	3月28日	33	3	36	107	1	ONCE AGAIN	1053.7	MEW, MMONK	3月28日	LITTLE SHEEP	漓江塔	24	伊利奥斯	9	温斯顿	378.1	温斯顿	骇灾	温斯顿	946	9月7日	MDY	阿特利斯	20	PINEAPPLE	397	10月12日	TEAM CC	国王大道	11	KANEKI	3	TEAM FALCONS	4强	11月29日	TEAM FALCONS	ONCE AGAIN
